iteration,mean_reward,mean_episode_length,mean_action_noise_std,mean_value_function_loss,mean_surrogate_loss,mean_entropy_loss,computation_steps_per_s,total_timesteps,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,foot_contact_l2,foot_force_var,termination_time_out
568,186.43,1999.00,0.11,3.5120,-0.0048,-8.5712,2735,1120000,6.8234,0.1347,-0.0077,-0.0106,-0.0001,-0.1805,-0.0008,-0.0012,-0.0031,0.0000,1.0000
570,187.28,1999.00,0.10,2.9450,-0.0047,-8.3834,2700,1152000,6.8478,0.1358,-0.0076,-0.0105,-0.0001,-0.1793,-0.0008,-0.0012,-0.0030,0.0000,1.0000
573,188.12,1999.00,0.10,2.4870,-0.0046,-8.1723,2725,1200000,6.8712,0.1368,-0.0076,-0.0104,-0.0001,-0.1782,-0.0008,-0.0012,-0.0030,0.0000,1.0000
575,188.75,1999.00,0.10,2.1230,-0.0045,-7.9945,2690,1232000,6.8912,0.1377,-0.0075,-0.0103,-0.0001,-0.1774,-0.0008,-0.0012,-0.0030,0.0000,1.0000
578,189.34,1999.00,0.10,1.8240,-0.0044,-7.7934,2715,1280000,6.9087,0.1385,-0.0075,-0.0103,-0.0001,-0.1766,-0.0008,-0.0012,-0.0030,0.0000,1.0000
580,189.82,1999.00,0.10,1.5780,-0.0044,-7.6234,2740,1312000,6.9234,0.1392,-0.0074,-0.0102,-0.0001,-0.1760,-0.0008,-0.0012,-0.0030,0.0000,1.0000
583,190.25,1999.00,0.10,1.3780,-0.0043,-7.4312,2705,1360000,6.9367,0.1398,-0.0074,-0.0101,-0.0001,-0.1754,-0.0008,-0.0012,-0.0029,0.0000,1.0000
585,190.58,1999.00,0.10,1.2150,-0.0042,-7.2723,2730,1392000,6.9478,0.1403,-0.0074,-0.0101,-0.0001,-0.1749,-0.0008,-0.0012,-0.0029,0.0000,1.0000
588,190.92,1999.00,0.10,1.0780,-0.0042,-7.0912,2695,1440000,6.9578,0.1408,-0.0073,-0.0100,-0.0001,-0.1745,-0.0008,-0.0011,-0.0029,0.0000,1.0000
590,191.18,1999.00,0.10,0.9650,-0.0041,-6.9423,2720,1472000,6.9667,0.1412,-0.0073,-0.0100,-0.0001,-0.1741,-0.0008,-0.0011,-0.0029,0.0000,1.0000
593,191.42,1999.00,0.10,0.8720,-0.0041,-6.7712,2710,1520000,6.9745,0.1416,-0.0073,-0.0100,-0.0001,-0.1738,-0.0008,-0.0011,-0.0029,0.0000,1.0000
595,191.58,1999.00,0.10,0.7950,-0.0040,-6.6234,2735,1552000,6.9812,0.1420,-0.0072,-0.0099,-0.0001,-0.1735,-0.0008,-0.0011,-0.0029,0.0000,1.0000
598,191.83,1999.00,0.10,0.7230,-0.0040,-6.4523,2700,1600000,6.9912,0.1425,-0.0072,-0.0099,-0.0001,-0.1731,-0.0008,-0.0011,-0.0029,0.0000,1.0000
